432	Degree	80	PhD Electrical Engineering	PNEC NUST	8	Years	2021-02-12	14-20-08-7389	3.75	\N	Electrical Engineering
436	Course	0	Introduction to Programming with MATLAB	Vanderbilt University	2	Months	2020-06-29	14-20-07-1601	100	6LQWPWRQVVM9	\N
316	Degree	70	MS	NUST PNEC	3	Years	2020-12-30	13-20-05-1661	3.88	\N	CONTROL
286	Degree	60	BE Electrical Engineering	NUST-PNEC	4	Years	2020-07-10	16-20-09-3410	3.54	\N	Electrical Engineering
345	Degree	60	BE Electrical	NUST-PNEC	4	Years	2020-07-10	11-20-10-8913	3.91	\N	Electrical Engineering
406	Degree	60	BE Electrical Engineering	National University of Sciences & Technology Karachi	4	Years	2014-06-30	14-20-08-3763	3.46	\N	Electrical
431	Degree	60	BE Electronics	NEDUET	4	Years	2019-08-23	14-21-01-3943	3.05	\N	Electronic Engineering
381	Degree	60	BCom	Shah Abdul Latif Bhittai University Khairpur	2	Years	2015-01-01	12-20-08-9305	B	\N	Commerce
321	Degree	60	BE Electronics	PAFKIET	4	Years	2014-05-10	13-20-05-0991	3.69	\N	Electronics/Avionics
307	Degree	60	BE Electrical Engineering	NUST PNEC	4	Years	2019-06-01	13-20-05-1643	3.35	\N	Electrical
314	Degree	60	BE Electronics	IIEE NED UET	4	Years	2014-04-04	13-20-05-1661	3.7	\N	INDUSTRIAL ELECTRONICS
356	Degree	30	SSC Science	PN Model School  Majeed SRE Karachi	2	Years	2008-05-12	12-20-08-9305	B Grade	\N	Science
268	Degree	50	Electrical	Jinnah Polytecnic Institute Nazimabad Karachi	3	Years	2007-10-30	16-20-09-8425	1st Div	\N	\N
388	Degree	30	SSC Science	FG Boys Secondary School Nai Chawni Rawalpindi	2	Years	1991-10-06	12-20-08-5743	A1	\N	Maths, Physics, Chemistry, Biology
313	Degree	35	HSSC	B.I.S.E HYD	2	Years	2009-09-30	13-20-05-1661	1	\N	Pre-Engineering
398	Degree	75	Comm Engineering	PNEC NUST	2	Years	2018-06-15	12-20-08-5743	3.3	\N	Stochastics, Computer Vision
437	Course	0	Data Science Math Skills	Duke University	1	Months	2020-05-17	14-20-07-1601	100	6AACFUXB5SHB	\N
438	Course	0	AWS Machine Learning	Amazon Web Services	1	Months	2020-05-16	14-20-07-1601	100	5BLCPLSATK9V	\N
439	Course	0	Computer Vision Basics	University of Buffalo	1	Months	2020-04-28	14-20-07-1601	100	S4KWJV7XXB98	\N
443	Degree	75	Electrical Engineering	NUST, Islamabad	2	Years	2019-12-17	14-21-01-3089	3.20/4	\N	RF and Microwave
